날짜,지역,유종,가격
2026-07-01,경북,경유,1933.41
2026-07-01,경북,자동차용LPG,1116.85
2026-07-01,경북,휘발유,1942.29
2026-07-01,전국,경유,1923.52
2026-07-01,전국,자동차용LPG,1130.43
2026-07-01,전국,휘발유,1933.72
2026-07-02,경북,경유,1919.79
2026-07-02,경북,자동차용LPG,1120.73
2026-07-02,경북,휘발유,1929.34
2026-07-02,전국,경유,1910.28
2026-07-02,전국,자동차용LPG,1133.82
2026-07-02,전국,휘발유,1921.4
2026-07-03,경북,경유,1907.53
2026-07-03,경북,자동차용LPG,1121.04
2026-07-03,경북,휘발유,1917.7
2026-07-03,전국,경유,1899.81
2026-07-03,전국,자동차용LPG,1134.32
2026-07-03,전국,휘발유,1911.69
2026-07-04,경북,경유,1900.24
2026-07-04,경북,자동차용LPG,1121.04
2026-07-04,경북,휘발유,1910.14
2026-07-04,전국,경유,1893.62
2026-07-04,전국,자동차용LPG,1134.71
2026-07-04,전국,휘발유,1905.58
2026-07-05,경북,경유,1896.95
2026-07-05,경북,자동차용LPG,1121.31
2026-07-05,경북,휘발유,1906.65
2026-07-05,전국,경유,1890.56
2026-07-05,전국,자동차용LPG,1134.89
2026-07-05,전국,휘발유,1902.8
2026-07-06,경북,경유,1889.4
2026-07-06,경북,자동차용LPG,1121.59
2026-07-06,경북,휘발유,1899.47
2026-07-06,전국,경유,1884.59
2026-07-06,전국,자동차용LPG,1135.18
2026-07-06,전국,휘발유,1897.07
2026-07-07,경북,경유,1882.14
2026-07-07,경북,자동차용LPG,1121.71
2026-07-07,경북,휘발유,1892.22
2026-07-07,전국,경유,1879.13
2026-07-07,전국,자동차용LPG,1135.21
2026-07-07,전국,휘발유,1891.96
2026-07-08,경북,경유,1876.68
2026-07-08,경북,자동차용LPG,1122.13
2026-07-08,경북,휘발유,1887.31
2026-07-08,전국,경유,1874.65
2026-07-08,전국,자동차용LPG,1135.53
2026-07-08,전국,휘발유,1887.93
2026-07-09,경북,경유,1873.37
2026-07-09,경북,자동차용LPG,1122.11
2026-07-09,경북,휘발유,1884.34
2026-07-09,전국,경유,1871.75
2026-07-09,전국,자동차용LPG,1135.46
2026-07-09,전국,휘발유,1885.21
2026-07-10,경북,경유,1870.3
2026-07-10,경북,자동차용LPG,1122.06
2026-07-10,경북,휘발유,1881.02
2026-07-10,전국,경유,1869.33
2026-07-10,전국,자동차용LPG,1135.37
2026-07-10,전국,휘발유,1883.05
2026-07-11,경북,경유,1867.77
2026-07-11,경북,자동차용LPG,1122.06
2026-07-11,경북,휘발유,1878.98
2026-07-11,전국,경유,1867.21
2026-07-11,전국,자동차용LPG,1135.5
2026-07-11,전국,휘발유,1881.33
2026-07-12,경북,경유,1866.5
2026-07-12,경북,자동차용LPG,1122.11
2026-07-12,경북,휘발유,1877.8
2026-07-12,전국,경유,1865.99
2026-07-12,전국,자동차용LPG,1135.53
2026-07-12,전국,휘발유,1880.51
2026-07-13,경북,경유,1864.11
2026-07-13,경북,자동차용LPG,1122.11
2026-07-13,경북,휘발유,1875.77
2026-07-13,전국,경유,1863.93
2026-07-13,전국,자동차용LPG,1135.61
2026-07-13,전국,휘발유,1878.85
2026-07-14,경북,경유,1861.62
2026-07-14,경북,자동차용LPG,1122.11
2026-07-14,경북,휘발유,1873.61
2026-07-14,전국,경유,1861.97
2026-07-14,전국,자동차용LPG,1135.63
2026-07-14,전국,휘발유,1877.22
2026-07-15,경북,경유,1860.03
2026-07-15,경북,자동차용LPG,1122.09
2026-07-15,경북,휘발유,1872.03
2026-07-15,전국,경유,1860.7
2026-07-15,전국,자동차용LPG,1135.78
2026-07-15,전국,휘발유,1876.07
2026-07-16,경북,경유,1858.44
2026-07-16,경북,자동차용LPG,1121.7
2026-07-16,경북,휘발유,1870.72
2026-07-16,전국,경유,1859.7
2026-07-16,전국,자동차용LPG,1135.64
2026-07-16,전국,휘발유,1875.02
2026-07-17,경북,경유,1857.64
2026-07-17,경북,자동차용LPG,1121.72
2026-07-17,경북,휘발유,1870.23
2026-07-17,전국,경유,1858.86
2026-07-17,전국,자동차용LPG,1135.56
2026-07-17,전국,휘발유,1874.34
2026-07-18,경북,경유,1857.01
2026-07-18,경북,자동차용LPG,1121.72
2026-07-18,경북,휘발유,1869.55
2026-07-18,전국,경유,1858.19
2026-07-18,전국,자동차용LPG,1135.67
2026-07-18,전국,휘발유,1873.91
2026-07-19,경북,경유,1856.81
2026-07-19,경북,자동차용LPG,1121.48
2026-07-19,경북,휘발유,1869.26
2026-07-19,전국,경유,1857.68
2026-07-19,전국,자동차용LPG,1135.64
2026-07-19,전국,휘발유,1873.38
2026-07-20,경북,경유,1856.06
2026-07-20,경북,자동차용LPG,1121.72
2026-07-20,경북,휘발유,1868.82
2026-07-20,전국,경유,1857.52
2026-07-20,전국,자동차용LPG,1135.65
2026-07-20,전국,휘발유,1873.06
2026-07-21,경북,경유,1855.39
2026-07-21,경북,자동차용LPG,1121.72
2026-07-21,경북,휘발유,1868.18
2026-07-21,전국,경유,1856.9
2026-07-21,전국,자동차용LPG,1135.52
2026-07-21,전국,휘발유,1872.45
2026-07-22,경북,경유,1854.7
2026-07-22,경북,자동차용LPG,1121.72
2026-07-22,경북,휘발유,1867.33
2026-07-22,전국,경유,1856.37
2026-07-22,전국,자동차용LPG,1135.61
2026-07-22,전국,휘발유,1871.74
2026-07-23,경북,경유,1854.2
2026-07-23,경북,자동차용LPG,1121.72
2026-07-23,경북,휘발유,1866.61
2026-07-23,전국,경유,1856.01
2026-07-23,전국,자동차용LPG,1135.6
2026-07-23,전국,휘발유,1871.33
2026-07-24,경북,경유,1853.41
2026-07-24,경북,자동차용LPG,1121.58
2026-07-24,경북,휘발유,1866.09
2026-07-24,전국,경유,1855.78
2026-07-24,전국,자동차용LPG,1135.56
2026-07-24,전국,휘발유,1871.05
2026-07-25,경북,경유,1852.41
2026-07-25,경북,자동차용LPG,1121.46
2026-07-25,경북,휘발유,1865.34
2026-07-25,전국,경유,1854.76
2026-07-25,전국,자동차용LPG,1135.54
2026-07-25,전국,휘발유,1870.5
2026-07-26,경북,경유,1852.24
2026-07-26,경북,자동차용LPG,1121.46
2026-07-26,경북,휘발유,1865.08
2026-07-26,전국,경유,1854.32
2026-07-26,전국,자동차용LPG,1135.53
2026-07-26,전국,휘발유,1870.23
2026-07-27,경북,경유,1851.36
2026-07-27,경북,자동차용LPG,1121.4
2026-07-27,경북,휘발유,1864.55
2026-07-27,전국,경유,1853.68
2026-07-27,전국,자동차용LPG,1135.32
2026-07-27,전국,휘발유,1869.76
2026-07-28,경북,경유,1850.54
2026-07-28,경북,자동차용LPG,1121.72
2026-07-28,경북,휘발유,1863.58
2026-07-28,전국,경유,1852.84
2026-07-28,전국,자동차용LPG,1135.23
2026-07-28,전국,휘발유,1869.08
2026-07-29,경북,경유,1848.86
2026-07-29,경북,자동차용LPG,1121.78
2026-07-29,경북,휘발유,1862.71
2026-07-29,전국,경유,1852.13
2026-07-29,전국,자동차용LPG,1135.37
2026-07-29,전국,휘발유,1868.41
2026-07-30,경북,경유,1848.52
2026-07-30,경북,자동차용LPG,1114.57
2026-07-30,경북,휘발유,1861.83
2026-07-30,전국,경유,1851.16
2026-07-30,전국,자동차용LPG,1122.75
2026-07-30,전국,휘발유,1867.91
2026-07-31,경북,경유,1847.83
2026-07-31,경북,자동차용LPG,1111.64
2026-07-31,경북,휘발유,1861.24
2026-07-31,전국,경유,1850.65
2026-07-31,전국,자동차용LPG,1119.57
2026-07-31,전국,휘발유,1867.57
2026-08-01,경북,경유,1846.69
2026-08-01,경북,자동차용LPG,1099.25
2026-08-01,경북,휘발유,1860.83
2026-08-01,전국,경유,1849.9
2026-08-01,전국,자동차용LPG,1108.87
2026-08-01,전국,휘발유,1867.02
2026-08-02,경북,경유,1846.64
2026-08-02,경북,자동차용LPG,1097.87
2026-08-02,경북,휘발유,1860.71
2026-08-02,전국,경유,1849.72
2026-08-02,전국,자동차용LPG,1106.87
2026-08-02,전국,휘발유,1866.96
2026-08-03,경북,경유,1845.86
2026-08-03,경북,자동차용LPG,1093.69
2026-08-03,경북,휘발유,1860.37
2026-08-03,전국,경유,1849.73
2026-08-03,전국,자동차용LPG,1103.97
2026-08-03,전국,휘발유,1866.61
2026-08-04,경북,경유,1845.81
2026-08-04,경북,자동차용LPG,1090.99
2026-08-04,경북,휘발유,1860.17
2026-08-04,전국,경유,1849.18
2026-08-04,전국,자동차용LPG,1102.38
2026-08-04,전국,휘발유,1866.17
2026-08-05,경북,경유,1845.44
2026-08-05,경북,자동차용LPG,1090.2
2026-08-05,경북,휘발유,1859.86
2026-08-05,전국,경유,1848.78
2026-08-05,전국,자동차용LPG,1101.8
2026-08-05,전국,휘발유,1865.65
2026-08-06,경북,경유,1844.66
2026-08-06,경북,자동차용LPG,1089.96
2026-08-06,경북,휘발유,1859.4
2026-08-06,전국,경유,1848.42
2026-08-06,전국,자동차용LPG,1101.5
2026-08-06,전국,휘발유,1865.42
2026-08-07,경북,경유,1844.58
2026-08-07,경북,자동차용LPG,1089.07
2026-08-07,경북,휘발유,1859.05
2026-08-07,전국,경유,1848.05
2026-08-07,전국,자동차용LPG,1101.0
2026-08-07,전국,휘발유,1865.14
2026-08-08,경북,경유,1843.73
2026-08-08,경북,자동차용LPG,1088.68
2026-08-08,경북,휘발유,1858.84
2026-08-08,전국,경유,1847.84
2026-08-08,전국,자동차용LPG,1100.88
2026-08-08,전국,휘발유,1865.0
2026-08-09,경북,경유,1843.41
2026-08-09,경북,자동차용LPG,1088.5
2026-08-09,경북,휘발유,1858.65
2026-08-09,전국,경유,1847.58
2026-08-09,전국,자동차용LPG,1100.66
2026-08-09,전국,휘발유,1864.88
2026-08-10,경북,경유,1843.04
2026-08-10,경북,자동차용LPG,1088.5
2026-08-10,경북,휘발유,1858.24
2026-08-10,전국,경유,1847.31
2026-08-10,전국,자동차용LPG,1100.68
2026-08-10,전국,휘발유,1864.55
2026-08-11,경북,경유,1842.34
2026-08-11,경북,자동차용LPG,1088.29
2026-08-11,경북,휘발유,1858.02
2026-08-11,전국,경유,1846.98
2026-08-11,전국,자동차용LPG,1100.4
2026-08-11,전국,휘발유,1864.13
2026-08-12,경북,경유,1842.18
2026-08-12,경북,자동차용LPG,1087.47
2026-08-12,경북,휘발유,1857.57
2026-08-12,전국,경유,1846.66
2026-08-12,전국,자동차용LPG,1099.84
2026-08-12,전국,휘발유,1863.7
2026-08-13,경북,경유,1842.04
2026-08-13,경북,자동차용LPG,1087.66
2026-08-13,경북,휘발유,1857.22
2026-08-13,전국,경유,1846.56
2026-08-13,전국,자동차용LPG,1099.67
2026-08-13,전국,휘발유,1863.44
2026-08-14,경북,경유,1841.3
2026-08-14,경북,자동차용LPG,1087.34
2026-08-14,경북,휘발유,1856.79
2026-08-14,전국,경유,1846.23
2026-08-14,전국,자동차용LPG,1099.22
2026-08-14,전국,휘발유,1863.2
2026-08-15,경북,경유,1840.99
2026-08-15,경북,자동차용LPG,1087.31
2026-08-15,경북,휘발유,1856.47
2026-08-15,전국,경유,1845.95
2026-08-15,전국,자동차용LPG,1099.21
2026-08-15,전국,휘발유,1863.05
2026-08-16,경북,경유,1840.86
2026-08-16,경북,자동차용LPG,1087.09
2026-08-16,경북,휘발유,1856.29
2026-08-16,전국,경유,1845.92
2026-08-16,전국,자동차용LPG,1099.12
2026-08-16,전국,휘발유,1862.97
2026-08-17,경북,경유,1840.83
2026-08-17,경북,자동차용LPG,1087.58
2026-08-17,경북,휘발유,1856.23
2026-08-17,전국,경유,1845.75
2026-08-17,전국,자동차용LPG,1099.2
2026-08-17,전국,휘발유,1862.89
2026-08-18,경북,경유,1840.68
2026-08-18,경북,자동차용LPG,1087.58
2026-08-18,경북,휘발유,1855.93
2026-08-18,전국,경유,1845.68
2026-08-18,전국,자동차용LPG,1099.06
2026-08-18,전국,휘발유,1862.73
2026-08-19,경북,경유,1840.23
2026-08-19,경북,자동차용LPG,1087.19
2026-08-19,경북,휘발유,1855.49
2026-08-19,전국,경유,1845.23
2026-08-19,전국,자동차용LPG,1099.07
2026-08-19,전국,휘발유,1862.27
2026-08-20,경북,경유,1839.85
2026-08-20,경북,자동차용LPG,1087.22
2026-08-20,경북,휘발유,1854.99
2026-08-20,전국,경유,1845.16
2026-08-20,전국,자동차용LPG,1098.96
2026-08-20,전국,휘발유,1862.05
2026-08-21,경북,경유,1839.62
2026-08-21,경북,자동차용LPG,1087.18
2026-08-21,경북,휘발유,1854.84
2026-08-21,전국,경유,1845.0
2026-08-21,전국,자동차용LPG,1098.81
2026-08-21,전국,휘발유,1861.79
2026-08-22,경북,경유,1840.06
2026-08-22,경북,자동차용LPG,1086.47
2026-08-22,경북,휘발유,1855.2
2026-08-22,전국,경유,1845.03
2026-08-22,전국,자동차용LPG,1098.69
2026-08-22,전국,휘발유,1861.78
